Set No.,Set Name,Player,Country,State Association,Age,Specialism,Batting,Bowling,IPL,Previous IPLTeam(s),2021 Team,C/U/A,Base Price,Sold Price,New Franchise
14,FA2,Chetan Sakariya,India,SCA,24,BOWLER,LHB,LEFT ARM Fast Medium,14,RR,RR,Capped,50 L,4.20 CR,Delhi Capitals
14,FA2,Sandeep Sharma,India,UTCA,28,BOWLER,RHB,RIGHT ARM Fast Medium,99,"KXIP, SRH",SRH,Capped,50 L,50 L,Punjab Kings
14,FA2,Jaydev Unadkat,India,SCA,30,BOWLER,RHB,LEFT ARM Fast Medium,86,"KKR,RCB, DD, RPS, RR",RR,Capped,75 L,1.30 CR,Mumbai Indians
15,SP2,Mayank Markande,India,PCA,24,BOWLER,RHB,RIGHT ARM Leg Spin,18,"MI, RR",RR,Capped,50 L,65 L,Mumbai Indians
15,SP2,Shahbaz Nadeem,India,JSCA,32,BOWLER,RHB,LEFT ARM Slow Orthodox,72,"DD, SRH",SRH,Capped,50 L,50 L,Lucknow Super Giants
15,SP2,Karn Sharma,India,RSPB,34,BOWLER,LHB,RIGHT ARM Leg Spin,68,"RCB, SRH, MI, CSK",CSK,Capped,50 L,50 L,Royal Challengers Bangalore
15,SP2,Maheesh Theekshana,Sri Lanka,,21,BOWLER,RHB,RIGHT ARM Off Spin,,,,Capped,50 L,70 L,Chennai Super Kings
16,UBA2,Rinku Singh,India,UPCA,24,BATSMAN,LHB,RIGHT ARM Off Spin,11,KKR,,Uncapped,20 L,55 L,Kolkata Knight Riders
16,UBA2,Manan Vohra,India,UTCA,28,BATSMAN,RHB,-,53,"KXIP, RCB, RR",RR,Uncapped,20 L,20 L,Lucknow Super Giants
17,UAL2,Yash Dhull,India,DDCA,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20 L,50 L,Delhi Capitals
17,UAL2,Rajvardhan Hangargekar,India,MACA,19,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,30 L,1.50 CR,Chennai Super Kings
17,UAL2,Mahipal Lomror,India,RCA,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,11,RR,RR,Uncapped,40 L,95 L,Royal Challengers Bangalore
17,UAL2,Darshan Nalkande,India,VCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,PBKS,PBKS,Uncapped,20 L,20 L,Gujarat Titans
17,UAL2,Vicky Ostwal,India,MACA,19,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,20 L,20 L,Delhi Capitals
17,UAL2,Ripal Patel,India,GUCA,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,2,DC,DC,Uncapped,20 L,20 L,Delhi Capitals
17,UAL2,Anukul Roy,India,JSCA,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,1,MI,MI,Uncapped,20 L,20 L,Kolkata Knight Riders
17,UAL2,Lalit Yadav,India,DDCA,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,7,DC,DC,Uncapped,20 L,65 L,Delhi Capitals
17,UAL2,Sanjay Yadav,India,TNCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,"KKR, SRH",,Uncapped,20 L,50 L,Mumbai Indians
18,UFA2,Yash Dayal,India,UPCA,24,BOWLER,RHB,LEFT ARM Fast,,,,Uncapped,20 L,3.20 CR,Gujarat Titans
18,UFA2,Kuldeep Sen,India,MPCA,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20 L,20 L,Rajasthan Royals
18,UFA2,Simarjeet Singh,India,DDCA,24,BOWLER,RHB,RIGHT ARM Fast,0,MI,MI,Uncapped,20 L,20 L,Chennai Super Kings
19,BA3,Finn Allen,New Zealand,,22,BATSMAN,RHB,RIGHT ARM Off Spin,0,RCB,RCB,Capped,50 L,80 L,Royal Challengers Bangalore
19,BA3,Devon Conway,New Zealand,,30,BATSMAN,LHB,RIGHT ARM Medium,,,,Capped,1 CR,1 CR,Chennai Super Kings
19,BA3,Alex Hales,England,,33,BATSMAN,RHB,-,6,"MI, SRH",,Capped,1.50 CR,1.50 CR,Kolkata Knight Riders
19,BA3,Evin Lewis,West Indies,,30,BATSMAN,LHB,-,21,"MI, RR",RR,Capped,2 CR,2 CR,Lucknow Super Giants
19,BA3,Karun Nair,India,KSCA,30,BATSMAN,RHB,RIGHT ARM Off Spin,73,"RCB, RR, DD, KXIP, KKR",KKR,Capped,50 L,1.40 CR,Rajasthan Royals
19,BA3,Rovman Powell,West Indies,,28,BATSMAN,RHB,RIGHT ARM Fast Medium,0,KKR,,Capped,75 L,2.80 CR,Delhi Capitals
20,AL3,Jofra Archer,England,,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,35,RR,RR,Capped,2 CR,8 CR,Mumbai Indians
20,AL3,Rishi Dhawan,India,HPCA,32,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,26,"MI, KXIP, KKR",,Capped,50 L,55 L,Punjab Kings
20,AL3,Daryl Mitchell,New Zealand,,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Capped,75 L,75 L,Rajasthan Royals
20,AL3,Dwaine Pretorius,South Africa,,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,50 L,50 L,Chennai Super Kings
20,AL3,Sherfane Rutherford,West Indies,,23,ALL-ROUNDER,LHB,RIGHT ARM Medium,7,"DC, MI",,Capped,1 CR,1 CR,Royal Challengers Bangalore
20,AL3,Daniel Sams,Australia,,29,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,5,"DC, RCB",RCB,Capped,1 CR,2.60 CR,Mumbai Indians
20,AL3,Mitchell Santner,New Zealand,,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,6,CSK,CSK,Capped,1 CR,1.90 CR,Chennai Super Kings
20,AL3,Romario Shepherd,West Indies,,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,75 L,7.75 CR,Sunrisers Hyderabad
21,WK2,Glenn Phillips,New Zealand,,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,3,,RR,Capped,1.50 CR,1.50 CR,Sunrisers Hyderabad
21,WK2,Tim Seifert,New Zealand,,27,WICKETKEEPER,RHB,-,1,KKR,KKR,Capped,50 L,50 L,Delhi Capitals
22,FA3,Jason Behrendorff,Australia,,31,BOWLER,RHB,LEFT ARM Fast Medium,5,"MI, CSK",CSK,Capped,75 L,75 L,Royal Challengers Bangalore
22,FA3,Nathan Ellis,Australia,,27,BOWLER,RHB,RIGHT ARM Fast Medium,3,PBKS,PBKS,Capped,75 L,75 L,Punjab Kings
22,FA3,Fazalhaq Farooqi,Afghanistan,,21,BOWLER,RHB,LEFT ARM Fast Medium,,,,Capped,50 L,50 L,Sunrisers Hyderabad
22,FA3,Siddharth Kaul,India,PCA,31,BOWLER,RHB,RIGHT ARM Fast Medium,54,"KKR, DD, SRH",SRH,Capped,75 L,75 L,Royal Challengers Bangalore
22,FA3,Obed McCoy,West Indies,,25,BOWLER,LHB,LEFT ARM Fast,,,,Capped,75 L,75 L,Rajasthan Royals
22,FA3,Tymal Mills,England,,29,BOWLER,RHB,LEFT ARM Fast,5,RCB,,Capped,1 CR,1.50 CR,Mumbai Indians
22,FA3,Adam Milne,New Zealand,,29,BOWLER,RHB,RIGHT ARM Fast,9,"RCB, MI",MI,Capped,1.50 CR,1.90 L,Chennai Super Kings
24,UBA3,Subhranshu Senapati,India,OCA,25,BATSMAN,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20 L,20 L,Chennai Super Kings
25,UAL3,Tim David,Australia,,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,1,RCB,RCB,Uncapped,40 L,8.25 CR,Mumbai Indians
25,UAL3,Pravin Dubey,India,KSCA,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,3,"RCB, DC",DC,Uncapped,20 L,50 L,Delhi Capitals
25,UAL3,Prerak Mankad,India,SCA,27,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Uncapped,20 L,20 L,Punjab Kings
25,UAL3,Suyash Prabhudessai,India,GCA,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,RCB,RCB,Uncapped,20 L,30 L,Royal Challengers Bangalore
25,UAL3,Ramandeep Singh,India,PCA,24,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,20 L,20 L,Mumbai Indians
26,UWK2,Dhruv Jurel,India,UPCA,21,WICKETKEEPER,RHB,-,,,,Uncapped,20 L,20 L,Rajasthan Royals
26,UWK2,Aryan Juyal,India,UPCA,20,WICKETKEEPER,RHB,-,,,,Uncapped,20 L,20 L,Mumbai Indians
26,UWK2,Luvnith Sisodia,India,KSCA,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,Uncapped,20 L,20 L,Royal Challengers Bangalore
27,UFA3,Vaibhav Arora,India,HPCA,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,KKR,KKR,Uncapped,20 L,2 CR,Punjab Kings
27,UFA3,Mukesh Choudhary,India,MACA,25,BOWLER,LHB,LEFT ARM Fast,,,,Uncapped,20 L,20 L,Chennai Super Kings
27,UFA3,Rasikh Dar,India,JKCA,22,BOWLER,RHB,RIGHT ARM Fast Medium,1,MI,,Uncapped,20 L,20 L,Kolkata Knight Riders
27,UFA3,Mohsin Khan,India,UPCA,23,BOWLER,LHB,LEFT ARM Fast Medium,0,MI,MI,Uncapped,20 L,20 L,Luknow Super Giants
27,UFA3,Chama Milind,India,HYCA,27,BOWLER,LHB,LEFT ARM Fast,0,"SRH, DD",,Uncapped,20 L,25 L,Royal Challengers Bangalore
27,UFA3,Mayank Yadav,India,DDCA,19,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20 L,20 L,Lucknow Super Giants
28,USP2,Tejas Baroka,India,DDCA,26,BOWLER,RHB,RIGHT ARM Leg Spin,1,GL,,Uncapped,20 L,20 L,Rajasthan Royals
28,USP2,Prashant Solanki,India,MCA,22,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20 L,1.20 CR,Chennai Super Kings
30,AL4,Fabian Allen,West Indies,,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,4,,,Capped,75 L,75 L,Mumbai Indians
30,AL4,Gurkeerat Singh,India,PCA,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,41,,KKR,Capped,50 L,50 L,Gujarat Titan
31,FA4,Sean Abbott,Australia,,30,BOWLER,RHB,RIGHT ARM Fast,2,RCB,,Capped,75 L,2.40 CR,Sunrisers Hyderabad
31,FA4,Alzarri Joseph,West Indies,,25,BOWLER,RHB,RIGHT ARM Fast,3,MI,,Capped,75 L,2.40 CR,Gujarat Titans
31,FA4,Riley Meredith,Australia,,25,BOWLER,RHB,RIGHT ARM Fast,5,PBKS,PBKS,Capped,1 CR,1 CR,Mumbai Indians
31,FA4,Tim Southee,New Zealand,,33,BOWLER,RHB,RIGHT ARM Fast,43,"CSK, RR, MI, RCB, KKR",KKR,Capped,1.50 CR,1.50 CR,Kolkata Knight Riders
32,UBA4,Rahul Buddhi,India,HYCA,24,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,Uncapped,20 L,20 L,Mumbai Indians
33,UAL4,Ayush Badoni,India,DDCA,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20 L,20 L,Lucknow Super Giants
33,UAL4,Aneeshwar Gautam,India,KSCA,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20 L,20 L,Royal Challengers Bangalore
33,UAL4,Benny Howell,England,,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Uncapped,40 L,40 L,Punjab Kings
34,UWK3,Baba Indrajith,India,TNCA,27,WICKETKEEPER,RHB,-,,,,Uncapped,20 L,20 L,Kolkata Knight Riders
35,UFA4,Kuldip Yadav,India,DDCA,25,BOWLER,LHB,LEFT ARM Fast,1,,RR,Uncapped,20 L,20 L,Rajasthan Royals
38,AL5,Chamika Karunaratne,Sri Lanka,,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,50 L,50 L,Kolkata Knight Riders
38,AL5,David Willey,England,,32,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,3,CSK,,Capped,2 CR,2 CR,Royal Challengers Bangalore
39,FA5,Varun Aaron,India,JSCA,32,BOWLER,RHB,RIGHT ARM Fast,50,"DD, RCB,KXIP, RR",,Capped,50 L,50 L,Gujarat Titans
40,UBA5,R Samarth,India,KSCA,29,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Uncapped,20 L,20 L,Sunrisers Hyderabad
40,UBA5,Abhijeet Tomar,India,RCA,27,BATSMAN,RHB,RIGHT ARM Off Spin,,,,Uncapped,20 L,40 L,Kolkata Knight Riders
41,UAL5,Aman Khan,India,MCA,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20 L,20 L,Kolkata Knight Riders
41,UAL5,Pradeep Sangwan,India,DDCA,31,ALL-ROUNDER,RHB,LEFT ARM Fast,39,"DD, GL, MI",,Uncapped,20 L,20 L,Gujarat Titans
47,UBA6,Ramesh Kumar,India,PCA,23,BATSMAN,LHB,-,,,,Uncapped,20 L,20 L,Kolkata Knight Riders
47,UBA6,Pratham Singh,India,RSPB,29,BATSMAN,LHB,RIGHT ARM Off Spin,0,GL,,Uncapped,20 L,20 L,Kolkata Knight Riders
48,UAL6,Writtick Chatterjee,India,CAB,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20 L,20 L,Punjab Kings
48,UAL6,Hrithik Shokeen,India,DDCA,21,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20 L,20 L,Mumbai Indians
48,UAL6,Shashank SIngh,India,CSCSCA,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,"DD, RR",,Uncapped,20 L,20 L,Sunrisers Hyderabad
50,AL7,Kyle Mayers,West Indies,,29,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,Capped,50 L,50 L,Lucknow Super Giants
51,UAL7,Karan Sharma,India,UPCA,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,20 L,20 L,Lucknow Super Giants
52,UFA7,Baltej Dhanda,India,PCA,31,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20 L,20 L,Punjab Kings
52,UFA7,Saurabh Dubey,India,VCA,24,BOWLER,RHB,LEFT ARM Fast Medium,,,,Uncapped,20 L,20 L,Sunrisers Hyderabad
52,UFA7,Lalit Yadav,India,VCA,26,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,20 L,65 L,Delhi Capitals
53,UAL8,Ansh Patel,India,BCA,20,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,,,,Uncapped,20 L,20 L,Punjab Kings
54,UFA8,Ashok Sharma,India,RCA,19,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20 L,55 L,Kolkata Knight Riders
57,UAL10,Arjun Tendulkar,India,MCA,22,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,0,MI,MI,Uncapped,20 L,30 L,Mumbai Indians
59,UAL12,Shubham Garhwal,India,RCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,20 L,20 L,Rajasthan Royals
60,UAL13,Anunay Singh,India,BICA,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,20 L,20 L,Rajasthan Royals
